   85.58	    0.63	   99.74	
   74.45	   -0.89	   46.53	
   83.05	   11.07	   95.57	
   48.34	    5.91	   30.96	
   44.88	   11.64	   36.25	
   65.79	    4.49	   24.89	
   46.16	   12.16	   28.12	
   30.16	    9.94	   21.86	
   41.22	   24.17	   39.59	
   88.01	    9.66	   26.95	
   49.79	   35.81	   54.04	
   54.04	    2.72	    6.40	
   68.53	   32.74	   37.59	
   56.77	   53.62	   48.90	
   30.99	   19.97	   17.86	
   24.57	   17.37	   13.09	
   74.45	   22.72	   18.13	
   59.20	   46.38	   25.01	
   39.15	   60.47	   27.54	
   43.76	   15.73	    5.31	
   41.39	    8.68	    0.59	
   44.60	   50.14	    1.52	
   69.79	   15.37	   -0.05	
   36.41	   32.35	   -6.68	
   44.60	   47.12	  -21.47	
   90.62	    2.75	    0.01	
   46.92	   19.00	  -16.26	
   28.59	   30.74	  -37.86	
   66.33	   10.89	  -18.83	
   25.55	   15.48	  -33.85	
   36.52	   11.41	  -49.17	
   91.37	   -1.72	   -0.44	
   28.70	   -1.40	  -29.80	
   52.79	  -19.50	  -37.81	
   46.79	   -0.93	   -2.28	
   75.78	  -16.54	  -14.13	
   51.19	  -30.80	  -22.76	
   73.25	  -22.55	  -14.72	
   80.80	  -13.87	   -5.50	
   51.18	  -37.52	  -13.36	
   27.40	  -29.89	   -9.90	
   24.21	  -21.88	   -5.82	
   53.82	  -43.03	   -6.28	
   44.80	  -30.29	   -5.37	
   69.10	  -23.99	   -1.67	
   52.71	  -45.75	    0.40	
   23.62	   -5.27	   -0.14	
   50.48	  -23.92	    3.17	
   58.22	  -57.23	   19.64	
   72.86	  -42.49	   14.83	
   64.76	  -15.44	    9.71	
   70.96	  -50.13	   45.06	
   73.11	  -15.47	   12.16	
   50.25	  -32.05	   40.40	
   76.35	  -36.40	   63.89	
   60.56	  -19.41	   31.16	
   48.10	  -16.75	   39.49	
   82.02	  -25.46	   75.36	
   93.87	   -3.56	    8.60	
   68.02	  -15.14	   60.10	
   85.02	  -15.40	   80.27	
   46.62	   -1.58	    6.20	
   49.61	   -2.01	   31.22	
    8.68	   -0.09	   -1.16	
   94.64	   -0.67	    3.78	
   30.23	    2.58	   22.58	
   94.31	   -1.54	    8.08	
   72.55	    5.11	   44.56	
   77.18	   22.11	   86.72	
   49.19	   13.76	   45.53	
   73.13	   31.91	   80.41	
   57.00	   19.48	   43.40	
   68.09	   38.99	   73.82	
   65.06	   23.65	   44.41	
   66.15	   45.72	   68.00	
   75.33	   30.12	   44.02	
   60.86	   50.27	   62.23	
   31.02	   20.03	   25.09	
   67.24	   43.15	   38.32	
   46.96	   52.14	   39.45	
   46.10	   35.43	   25.34	
   48.18	   59.81	   36.88	
   48.36	   21.99	   11.86	
   35.20	   24.25	    8.53	
   36.47	   58.43	   14.40	
   84.23	   15.64	    4.16	
   28.12	   41.92	    2.66	
   45.02	   50.42	  -10.54	
   79.65	   14.76	   -2.08	
   16.70	   18.92	   -9.46	
   37.54	   39.15	  -28.43	
   60.04	    2.36	   -2.96	
   17.44	   12.54	  -19.00	
   34.28	   22.35	  -46.26	
   60.99	   10.65	  -35.31	
   12.07	    0.35	   -6.09	
   43.71	   -4.52	  -46.48	
   74.75	   -7.30	  -24.90	
   52.92	  -12.47	  -24.11	
   53.83	  -26.31	  -26.71	
   41.67	  -11.72	  -15.15	
   27.25	  -22.54	  -16.95	
   52.65	  -34.89	  -17.65	
   35.60	  -24.78	  -13.13	
   73.37	  -28.24	  -10.25	
   54.99	  -45.14	  -10.56	
   87.90	  -15.16	   -1.92	
   75.82	  -31.64	   -4.42	
   56.09	  -50.96	   -2.97	
   27.99	  -25.00	   -1.58	
   66.19	  -33.63	    1.49	
   55.57	  -53.80	    8.72	
   88.60	  -17.30	    5.36	
   33.71	  -45.14	   13.02	
   62.53	  -55.96	   32.12	
   35.75	  -31.24	   16.56	
   42.69	  -33.43	   25.69	
   74.55	  -43.23	   54.04	
   56.99	  -13.38	   13.76	
   86.63	   -7.10	   12.06	
   79.30	  -28.02	   65.98	
   86.12	  -19.78	   41.15	
   38.95	   -9.15	   33.56	
   85.29	  -21.98	   81.94	
   94.11	   -6.52	   17.44	
   66.45	  -10.14	   74.34	
   84.94	   -8.67	   90.38	
   93.00	   -7.26	   42.49	
   55.25	    0.04	   -0.20	
   91.47	    0.57	   -1.16	
